model,way,AUC,NLL
AutoRec,,0.71861106,-0.59073544
AutoRec,unif,0.53980932,-0.52116737
AutoRec,combine,0.72130807,-0.58577305
InitFeatureEmbedAE,user,0.71141321,-0.59368948
InitFeatureEmbedAE,item,0.72172992,-0.57882471
InitFeatureEmbedAE,both,0.70724867,-0.59753585
AlterFeatureEmbedAE,,0.72457937,-0.57973717
ConcatFeatureEmbedAE,,0.71898775,-0.5801106
UnionSampleAE,,0.72522859,-0.5798415
WRSampleAE,,0.7232737,-0.58245539
BatchSampleAE,,0.72211502,-0.58555793
BridgeLabelAE,,0.72596937,-0.5620081
RefineLabelAE,,0.72261937,-0.59341033
DeepAutoRec,,0.71275656,-0.56291578
DeepAutoRec,unif,0.53814781,-0.51783605
SoftLabelAE,,0.72057365,-0.54413821
HintAE,,0.72019667,-0.59783235
